,student,available_day,available_time,subject,grade,math_slot,en_slot,social_science_slot,science_slot,literature_slot,sd_math_slot,sd_en_slot,sd_social_slot,sd_science_slot,sd_literature_slot,math_x,english_x,social_science_x,science_x,literature_x,math_y,english_y,social_science_y,science_y,literature_y,season_subject,regular_subject,period_student,center_num_student,date_std_applied,time_period_center,student_id,student_idx,prefer_teacher,number_absense,subject_absense,location,total_slot_x,total_slot_y
0,st_1,9,7,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-25 0:00:00,7,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
1,st_1,9,8,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-25 0:00:00,8,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
2,st_1,9,9,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-25 0:00:00,9,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
3,st_1,10,7,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-26 0:00:00,7,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
4,st_1,10,8,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-26 0:00:00,8,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
5,st_1,10,9,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-26 0:00:00,9,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
6,st_1,11,7,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-27 0:00:00,7,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
7,st_1,11,8,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-27 0:00:00,8,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
8,st_1,11,9,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-27 0:00:00,9,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
9,st_1,13,7,social_science,g9,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,"['math', 'english', 'social_science', 'science']","['math', 'english']",1,77,2022-07-29 0:00:00,7,2018002901,st_1,t_0,0,t_0,77,40.0,8.0
